i_large_loan,i_medium_loan,rate_spread,i_refinance,age_r,cltv,dti,cu,first_mort_r,i_FHA,i_open_year2,i_open_year3,i_open_year4,i_open_year5,score_0,score_1,score_2,duration,nsmoid,analysis_weight,open_year,pmms,i_open,considerations,applications,i_close_first_year,i_married,i_higher_ed,rate,rate_0,rate_1,rate_2,i_open_0,i_open_1,i_open_2,change_score_0,change_score_1,change_score_2
0,0,-.01,1,.44999999,.68000001,.25,1,2,0,0,0,0,0,8.0699997,8.1499996,7.7600002,4,204540,1437.587274774775,2013,4.509999990463257,1,2,1,0,0,1,4.5,3.895689,3.8419178,3.6166666,1,1,1,0,.079999924,-.30999947
0,0,.35,1,.41999999,.80000001,.25,2,2,0,0,0,0,0,7.21,6.4499998,6.4899998,4,200450,1706.654411764706,2013,4.399999991059303,0,2,1,0,0,1,4.75,3.895689,3.8419178,3.6166666,1,1,1,0,-.76000023,-.72000027
0,0,.43,1,.63999999,1.02,.25,2,2,1,0,0,0,0,7.5100002,7.8600001,7.4200001,4,203748,1437.587274774775,2013,3.569999992847443,1,2,1,0,0,0,4,3.895689,3.8419178,3.6166666,1,1,1,0,.3499999,-.090000153
0,1,-.06,1,.40000001,.67000002,.25,2,2,1,0,0,0,0,7.8299999,8.1499996,7.75,3,201465,1706.654411764706,2013,4.309999987483025,0,1,1,0,1,1,4.25,3.895689,3.8419178,3.6166666,1,1,0,0,.31999969,-.079999924
0,1,-1.02,0,.43000001,1.05,.5,2,2,1,0,0,0,0,7.2600002,7.04,6.5500002,4,202824,1706.654411764706,2013,3.519999995827675,0,1,1,0,0,1,2.5,3.895689,3.8419178,3.6166666,1,1,1,0,-.22000027,-.71000004
0,1,.95,0,.52999997,.95999998,.5,2,2,0,0,0,0,0,7.4000001,7.0700002,7.1999998,4,200327,1028.749258064516,2013,3.929999999701977,0,1,1,0,0,0,4.8800001,3.895689,3.8419178,3.6166666,1,1,1,0,-.32999992,-.20000029
0,0,.84,1,.70999998,1.04,.25,2,2,0,0,0,0,0,6.9499998,7.29,6.5300002,3,204046,1706.654411764706,2013,3.53999999910593,0,2,1,0,1,0,4.3800001,3.895689,3.8419178,3.6166666,1,1,0,0,.34000015,-.4199996
1,0,-.66,0,.63999999,.75,.5,2,2,0,0,0,0,0,7.8800001,7.5599999,7.71,4,203848,1028.749258064516,2013,3.409999996423721,1,3,1,0,1,1,2.75,3.895689,3.8419178,3.6166666,1,1,1,0,-.32000017,-.17000008
0,1,-.68,1,.36000001,.79000002,.25,2,2,0,0,0,0,0,6.9899998,7.3299999,7.3600001,3,203992,3025.065165876777,2013,3.929999999701977,0,2,1,0,1,1,3.25,3.895689,3.8419178,3.6166666,1,1,0,0,.34000015,.37000036
1,0,-.03,1,.56,.55000001,.5,2,2,0,0,0,0,0,6.5100002,7.3499999,7.7600002,4,200584,1905.339552238806,2013,3.409999996423721,1,2,1,0,1,1,3.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,.83999968,1.25
0,0,-.05,0,.44999999,.95999998,.5,2,1,1,0,0,0,0,6.4299998,6.8800001,7.2600002,4,200134,1905.339552238806,2013,3.929999999701977,1,1,1,0,0,1,3.8800001,3.895689,3.8419178,3.6166666,1,1,1,0,.45000029,.8300004
0,1,.2,0,.58999997,1.02,.5,2,1,1,0,0,0,0,6.3200002,6.4699998,6.98,4,202804,1437.587274774775,2013,3.429999999701977,1,1,1,0,0,0,3.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,.14999962,.65999985
0,1,.32,0,.38,.99000001,.5,2,2,1,0,0,0,0,6.54,5.9499998,6.2600002,3,200395,1028.749258064516,2013,3.809999994933605,0,2,2,0,0,0,4.1300001,3.895689,3.8419178,3.6166666,1,1,0,0,-.59000015,-.27999973
0,0,-1.5,0,.20999999,.63999999,.25,2,1,1,0,0,0,0,7.6999998,7.54,6.7600002,4,203252,3025.065165876777,2013,4.319999992847443,0,1,2,0,0,0,2.8199999,3.895689,3.8419178,3.6166666,1,1,1,0,-.15999985,-.93999958
0,1,-.1,0,.33000001,1,.25,2,2,1,0,0,0,0,7.3899999,7.5999999,7.8099999,4,202535,1905.339552238806,2013,3.349999994039536,1,1,1,0,1,0,3.25,3.895689,3.8419178,3.6166666,1,1,1,0,.21000004,.42000008
0,1,-.58,0,.25,.88999999,.5,2,1,0,0,0,0,0,7.6799998,7.4299998,7.6399999,4,203726,1706.654411764706,2013,4.459999993443489,0,1,1,0,0,1,3.8799999,3.895689,3.8419178,3.6166666,1,1,1,0,-.25,-.039999962
0,0,.21,1,.66000003,.43000001,.25,2,2,0,0,0,0,0,7.0599999,7.1199999,8,4,201898,1028.749258064516,2013,3.419999994337559,1,1,1,0,1,1,3.6299999,3.895689,3.8419178,3.6166666,1,1,1,0,.059999943,.94000006
1,0,.48,1,.67000002,.43000001,.5,2,2,1,0,0,0,0,7.9299998,7.6799998,7.8499999,3,203631,1028.749258064516,2013,3.399999998509884,0,3,1,0,1,1,3.8800001,3.895689,3.8419178,3.6166666,1,1,0,0,-.25,-.079999924
0,0,.59,1,.38,.92000002,.25,2,2,1,0,0,0,0,6.8800001,7.3699999,7.9699998,4,200621,1905.339552238806,2013,3.53999999910593,1,1,1,0,1,0,4.1300001,3.895689,3.8419178,3.6166666,1,1,1,0,.48999977,1.0899997
0,0,.06,1,.44,.66000003,.5,2,2,0,0,0,0,0,6.7600002,6.8600001,6.8400002,4,202860,1706.654411764706,2013,3.569999992847443,0,2,1,0,0,1,3.6299999,3.895689,3.8419178,3.6166666,1,1,1,0,.099999905,.079999924
1,0,.06,1,.61000001,.73000002,.25,2,2,0,0,0,0,0,7.0500002,7.5300002,7.8400002,4,203372,1437.587274774775,2013,3.319999992847443,1,3,1,0,0,1,3.3799999,3.895689,3.8419178,3.6166666,1,1,1,0,.48000002,.78999996
0,1,1.5,0,.43000001,.80000001,.25,2,2,1,0,0,0,0,7.21,6.6599998,7.1100001,2,201756,1028.749258064516,2013,3.419999994337559,0,1,1,1,0,0,4.9200001,3.895689,3.8419178,3.6166666,1,0,1,0,-.55000019,-.099999905
0,1,-.01,1,.55000001,.74000001,.25,2,2,0,0,0,0,0,7.9299998,8.0200005,8.0100002,4,200254,1028.749258064516,2013,4.389999985694885,1,2,1,0,0,1,4.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,.090000629,.080000401
1,0,-1,0,.46000001,.60000002,.25,2,2,0,0,0,0,0,7.6900001,7.6100001,7.8699999,4,203693,1437.587274774775,2013,4.5,0,2,1,0,0,1,3.5,3.895689,3.8419178,3.6166666,1,1,1,0,-.079999924,.17999983
0,0,.07,0,.36000001,.95999998,.5,2,2,0,0,0,0,0,6.3699999,7.1500001,7.4200001,4,200639,1905.339552238806,2013,3.309999994933605,0,1,1,0,0,1,3.3799999,3.895689,3.8419178,3.6166666,1,1,1,0,.78000021,1.0500002
0,0,.12,0,.64999998,.52999997,.25,2,2,0,0,0,0,0,7.73,7.8000002,8.04,4,201177,1028.749258064516,2013,3.509999997913837,0,1,1,0,0,0,3.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,.070000172,.30999994
0,0,.24,0,.41999999,1.02,.5,2,2,0,0,0,0,0,6.0799999,6.3099999,6.1599998,4,203934,1706.654411764706,2013,3.509999997913837,1,2,1,0,0,1,3.75,3.895689,3.8419178,3.6166666,1,1,1,0,.23000002,.079999924
0,0,.35,1,.61000001,.66000003,.5,2,2,0,0,0,0,0,6.2800002,6.1399999,6.4099998,4,201038,1028.749258064516,2013,4.399999991059303,1,3,2,0,0,1,4.75,3.895689,3.8419178,3.6166666,1,1,1,0,-.14000034,.12999964
0,0,.84,1,.34,1,.5,2,2,0,0,0,0,0,8.1199999,8.1700001,8.1899996,4,201217,1905.339552238806,2013,3.53999999910593,1,1,1,0,1,1,4.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,.050000191,.069999695
0,1,.2,1,.34999999,.72000003,.5,2,2,0,0,0,0,0,8,7.8699999,7.9899998,4,202067,1437.587274774775,2013,3.429999999701977,0,2,2,0,0,1,3.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,-.13000011,-.010000229
0,0,.25,0,.37,1,.25,2,1,1,0,0,0,0,6.6799998,6.48,6.98,4,203611,1383.067621722846,2013,4.129999995231628,1,1,1,0,1,0,4.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,-.19999981,.30000019
0,0,-.96,0,.58999997,.95999998,.5,2,2,1,0,0,0,0,5.5,6.5300002,6.2600002,4,202345,1905.339552238806,2013,4.459999993443489,0,1,1,0,1,0,3.5,3.895689,3.8419178,3.6166666,1,1,1,0,1.0300002,.76000023
0,0,.79,1,.37,.67000002,.5,2,2,0,0,0,0,0,6.6399999,7.2600002,7.1399999,4,203923,3025.065165876777,2013,3.589999996125698,0,1,1,0,1,0,4.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,.62000036,.5
0,0,.33,0,.31999999,.91000003,.5,2,2,1,0,0,0,0,6.0500002,6.0500002,6.4499998,4,201438,2677.617101449275,2013,3.419999994337559,0,1,1,0,1,0,3.75,3.895689,3.8419178,3.6166666,1,1,1,0,0,.39999962
0,1,-.26,0,.33000001,.97000003,.25,2,1,1,0,0,0,0,8.1099997,7.4899998,7.8600001,4,200097,1437.587274774775,2013,3.509999997913837,1,2,1,0,0,1,3.25,3.895689,3.8419178,3.6166666,1,1,1,0,-.61999989,-.24999952
0,1,-.15,0,.25,.87,.25,1,1,0,0,0,0,0,7.5799999,7.5500002,7.5100002,4,200735,1706.654411764706,2013,3.529999993741512,1,1,1,0,0,1,3.3799999,3.895689,3.8419178,3.6166666,1,1,1,0,-.029999733,-.069999695
0,1,.26,0,.34999999,.89999998,.25,2,1,0,0,0,0,0,7.6700001,7.6199999,7.6599998,4,204601,1706.654411764706,2013,3.369999997317791,0,2,1,0,0,1,3.6300001,3.895689,3.8419178,3.6166666,1,1,1,0,-.050000191,-.010000229
0,0,.84,1,.52999997,.74000001,.5,2,2,0,0,0,0,0,6.8099999,7.1199999,7.0700002,4,204600,1706.654411764706,2013,3.53999999910593,1,3,1,0,0,1,4.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,.30999994,.26000023
0,1,-.5,1,.47999999,.86000001,.75,1,2,1,0,0,0,0,6.6500001,6.4699998,6.4899998,4,204595,3025.065165876777,2013,3.379999995231628,0,2,1,0,0,0,2.8800001,3.895689,3.8419178,3.6166666,1,1,1,0,-.18000031,-.16000032
0,0,.18,0,.30000001,1.01,.25,2,1,1,0,0,0,0,6.6700001,6.5500002,7.3499999,4,204558,1706.654411764706,2013,4.569999992847443,1,1,1,0,0,1,4.75,3.895689,3.8419178,3.6166666,1,1,1,0,-.11999989,.67999983
0,0,.21,0,.54000002,.76999998,.25,2,2,0,0,0,0,0,7.71,7.3800001,7.3499999,4,203679,1028.749258064516,2013,3.419999994337559,0,1,1,0,0,0,3.6299999,3.895689,3.8419178,3.6166666,1,1,1,0,-.32999992,-.36000013
0,1,-.14,0,.69,1.02,.25,2,1,1,0,0,0,0,8.1800003,8.1700001,8.25,4,204081,1028.749258064516,2013,3.519999995827675,1,3,1,0,1,0,3.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,-.010000229,.069999695
0,0,.33,0,.73000002,1.03,.25,2,1,1,0,0,0,0,6.8099999,5.48,5.1900001,4,204467,1028.749258064516,2013,3.419999994337559,0,1,1,0,0,0,3.75,3.895689,3.8419178,3.6166666,1,1,1,0,-1.3299999,-1.6199999
0,0,-.01,0,.61000001,.75,.25,1,2,0,0,0,0,0,7.8499999,7.8200002,7.02,4,202960,1028.749258064516,2013,4.389999985694885,0,3,1,0,0,0,4.3800001,3.895689,3.8419178,3.6166666,1,1,1,0,-.029999733,-.82999992
